product_id,product_name,category,price,cost,stock_quantity,reorder_level
40,Sea Available,Sports,336.56,213.55,494,47
41,Answer Recently,Books,221.39,154.01,290,85
42,Drive Spring,Automotive,417.18,217.93,971,65
43,Figure Base,Health & Beauty,351.63,223.51,957,72
44,Top Early,Health & Beauty,159.62,111.12,381,111
45,Trial Blood,Books,416.97,148.71,806,46
46,Husband Fall,Tools,403.36,193.33,397,178
47,Long Prove,Sports,196.8,89.94,795,148
48,They His,Toys,147.72,49.05,585,155
49,Commercial Hospital,Health & Beauty,342.84,206.43,470,42
50,Hear Determine,Food & Beverage,74.18,35.13,128,145
51,Religious Example,Clothing,103.95,50.7,655,169
52,Science Write,Home & Garden,8.64,3.11,321,43
53,Result Raise,Home & Garden,394.53,146.91,217,153
54,Away Politics,Tools,334.1,221.46,193,78
55,Prove Congress,Health & Beauty,354.06,112.54,982,160
56,None Shoulder,Home & Garden,391.46,153.9,103,101
57,Election Common,Health & Beauty,232.16,96.77,799,163
58,Maintain Hundred,Health & Beauty,286.53,142.14,867,38
59,Expect Wish,Home & Garden,74.2,39.67,31,84
60,Push Rise,Sports,61.69,30.68,589,62
61,Onto Discuss,Automotive,335.86,112.06,577,57
62,Reveal Garden,Toys,238.19,94.67,359,68
63,Threat Special,Clothing,284.79,181.54,667,83
64,Stand Arrive,Health & Beauty,383.67,212.95,409,34
65,Drop Term,Toys,319.19,178.64,440,145
66,Almost Support,Toys,279.02,158.51,431,115
67,Four Institution,Health & Beauty,281.81,170.54,801,168
68,Executive Attorney,Tools,155.46,50.25,633,144
69,Development White,Home & Garden,20.25,9.04,379,38
70,Yes Our,Sports,221.18,114.09,927,23
71,Under Serious,Clothing,111.22,48.42,802,90
72,Forward Difference,Food & Beverage,207.22,132.16,933,101
73,Reality Money,Sports,427.43,210.74,731,55
74,Individual Usually,Home & Garden,120.8,73.38,391,159
75,Who Question,Food & Beverage,33.86,21.7,773,121
76,Low Character,Sports,144.29,72.42,329,152
77,Evidence Chair,Sports,150.33,99.79,271,30
78,Employee Size,Sports,332.65,177.92,451,165
79,Option Nothing,Books,280.73,179.7,970,49
80,Everyone Skin,Clothing,393.03,171.45,568,95
81,Pattern Later,Automotive,333.84,166.76,384,93
82,Water Past,Electronics,206.16,105.67,462,166
83,Inside High,Home & Garden,407.94,139.51,291,62
84,Discuss Certainly,Food & Beverage,87.65,40.27,659,55
85,Mr Minute,Clothing,16.24,10.83,350,74
86,Benefit Someone,Food & Beverage,49.57,27.38,554,78
87,Anyone Traditional,Health & Beauty,362.57,134.51,370,44
88,Break Claim,Food & Beverage,233.63,101.76,321,43
89,Product Collection,Home & Garden,84.83,31.95,971,54
90,Structure Response,Electronics,253.02,78.42,346,99
91,Knowledge Pick,Automotive,80.39,53.94,70,75
92,Attack Image,Home & Garden,349.68,167.6,378,84
93,I Pick,Automotive,225.85,95.54,532,147
94,Management Newspaper,Clothing,193.61,104.43,94,56
95,Enter On,Clothing,154.25,46.73,305,183
96,Traditional Yes,Health & Beauty,316.99,130.35,166,153
97,Activity Response,Tools,184.1,107.0,501,43
98,Set Building,Automotive,48.39,26.78,723,69
99,Rest Value,Health & Beauty,63.41,43.93,969,45
100,Not Social,Books,481.14,263.73,389,62
101,Example Specific,Tools,454.75,223.28,864,79
102,Put Grow,Food & Beverage,351.36,212.42,214,35
103,Brother Finally,Clothing,136.61,90.34,781,12
104,Learn Coach,Clothing,484.74,285.16,563,93
105,Long About,Automotive,390.48,267.59,758,143
106,Seven Type,Books,359.86,220.52,756,67
107,Serve Everyone,Health & Beauty,227.43,147.08,532,174
108,Month Sound,Clothing,139.76,48.31,257,80
109,Could Movement,Books,52.71,31.26,526,182
110,While Born,Books,451.79,215.07,827,55
111,Truth Process,Books,230.61,120.2,971,113
112,Fire Thought,Food & Beverage,105.17,59.07,928,155
113,Purpose Movement,Tools,156.45,107.63,181,21
114,Politics Decide,Tools,291.71,202.4,597,187
115,Claim Hour,Health & Beauty,92.5,38.41,104,79
116,Sound Color,Books,429.02,254.62,669,105
117,Notice Start,Tools,380.47,228.28,993,130
118,Win Nice,Toys,361.13,158.39,52,132
119,Why A,Toys,218.89,76.51,657,14
120,Place Game,Health & Beauty,315.52,99.82,946,175
121,Middle After,Health & Beauty,294.13,179.69,848,129
122,Brother Woman,Tools,326.67,161.99,392,200
123,Him Unit,Toys,46.8,32.49,104,100
124,Theory Surface,Food & Beverage,210.82,102.46,924,127
125,Food Education,Health & Beauty,25.6,17.69,922,94
126,Article Effect,Books,249.53,115.94,579,179
127,Unit Our,Home & Garden,168.28,103.91,979,168
128,Your Bar,Food & Beverage,76.54,25.56,4,183
129,Bed Sign,Electronics,56.18,29.34,617,106
130,Mention Team,Home & Garden,295.88,183.69,38,161
131,Authority Soon,Health & Beauty,89.44,59.91,936,78
132,No Space,Tools,462.93,291.2,681,98
133,Car Career,Toys,292.63,92.12,914,155
134,Receive May,Home & Garden,176.7,79.35,563,25
135,Your Often,Sports,297.5,95.05,83,145
136,Company Evidence,Food & Beverage,16.29,5.6,26,13
137,News Turn,Toys,479.49,273.37,335,120
138,Policy Land,Electronics,243.74,142.66,744,101
139,Development Woman,Toys,392.45,239.19,151,99
140,Notice Someone,Sports,45.95,29.69,852,104
141,Show Road,Health & Beauty,245.9,146.5,239,103
142,Deep Sell,Automotive,247.9,153.78,496,87
143,Forget Inside,Tools,469.22,149.96,203,96
144,Remain Rate,Food & Beverage,288.01,113.42,466,118
145,Hour Left,Home & Garden,239.38,131.36,452,155
146,We Nation,Sports,137.15,88.22,5,115
147,Live Camera,Clothing,169.13,51.04,568,132
148,End Down,Tools,262.73,132.9,787,169
149,Attack Ground,Automotive,222.26,126.89,937,198
150,Against Per,Automotive,15.7,4.9,331,30
151,Once Drug,Home & Garden,414.01,190.67,881,146
152,Per Discussion,Home & Garden,448.6,295.29,879,53
153,Account Avoid,Automotive,74.42,42.32,989,47
154,Second Program,Toys,279.25,110.32,373,161
155,Artist Drop,Health & Beauty,58.74,37.66,851,23
156,Author Western,Sports,337.76,148.35,565,171
157,Almost Trade,Sports,144.21,92.49,58,157
158,Give Avoid,Food & Beverage,331.41,139.05,270,200
159,My Economy,Automotive,364.86,195.61,672,137
160,Family Relationship,Home & Garden,385.48,176.85,160,176
161,Mention Difficult,Automotive,58.33,23.91,435,32
162,Notice Cause,Books,458.43,300.1,775,179
163,Several Worry,Sports,118.96,44.61,149,40
164,Us Own,Tools,23.52,7.85,497,70
165,Part Material,Tools,279.65,122.14,215,34
166,Eight Still,Tools,188.61,110.72,537,86
167,Material Surface,Home & Garden,415.75,259.0,240,153
168,Investment Customer,Automotive,405.08,283.35,966,61
169,Between Bill,Tools,161.98,67.8,76,167
170,Reason Lawyer,Tools,476.69,220.79,964,125
171,Health Land,Electronics,149.0,52.85,792,130
172,Item Manage,Health & Beauty,259.95,137.76,856,189
173,Treat Shoulder,Tools,131.7,92.06,852,92
174,Arm Report,Health & Beauty,468.34,271.8,187,75
175,Ready Race,Books,86.48,46.53,932,199
176,Billion Ask,Health & Beauty,27.23,12.44,594,116
177,Interesting Should,Clothing,220.37,146.79,963,127
178,Group Such,Sports,496.23,247.5,879,66
179,Training Boy,Food & Beverage,446.38,157.91,580,51
180,Energy Dark,Sports,375.56,167.56,374,42
181,Customer Not,Food & Beverage,445.94,145.76,117,52
182,List Challenge,Books,447.26,170.31,101,47
183,Knowledge Cover,Food & Beverage,261.83,80.4,390,152
184,Family Maintain,Food & Beverage,161.38,77.67,811,21
185,Enjoy Two,Food & Beverage,387.15,214.41,505,130
186,Wind Bag,Books,332.52,145.42,482,191
187,Level System,Home & Garden,189.96,88.93,244,156
188,Training Total,Books,51.76,35.39,564,86
189,Oil Billion,Sports,374.66,225.09,638,21
190,Apply Reach,Toys,134.92,69.66,983,169
191,Now Think,Home & Garden,468.72,193.96,730,10
192,Administration Better,Sports,124.28,81.88,607,140
193,With Some,Books,65.77,25.92,910,138
194,Time Economic,Books,416.4,179.11,425,46
195,Compare Investment,Food & Beverage,80.88,53.67,935,151
196,Mention Medical,Automotive,93.74,47.98,370,43
197,Different Treatment,Books,301.69,180.09,127,53
198,Institution Weight,Automotive,437.91,234.85,418,165
199,Artist Community,Toys,102.24,57.4,128,197
200,Hundred Able,Clothing,158.61,66.58,118,60
201,In Evidence,Home & Garden,389.82,154.58,882,185
202,With Step,Electronics,486.05,208.51,795,184
203,Still Look,Electronics,252.87,91.58,221,156
204,Feeling Land,Home & Garden,76.23,49.53,838,36
205,Same Side,Sports,11.9,4.92,68,67
206,Step Only,Health & Beauty,118.68,62.26,284,139
207,Recently Serious,Clothing,70.25,43.33,706,200
208,Message Clear,Automotive,340.44,208.87,304,165
209,Customer Fine,Books,65.31,31.05,731,90
210,Director Article,Clothing,255.63,125.39,875,54
211,Particularly Simply,Food & Beverage,348.66,243.32,66,193
212,Occur Ask,Health & Beauty,292.65,166.76,23,62
213,Small Former,Food & Beverage,103.89,65.02,940,75
214,Art Apply,Clothing,403.04,266.42,520,194
215,Pattern Me,Clothing,359.13,220.88,506,117
216,Morning Wide,Home & Garden,370.8,138.71,464,60
217,Tonight Nice,Sports,69.87,36.67,434,11
218,Coach Art,Tools,66.26,22.58,690,92
219,Movie Be,Books,464.14,260.46,580,198
220,Today Cultural,Clothing,201.8,137.66,163,92
221,Authority Physical,Tools,153.97,77.77,627,143
222,Author Republican,Clothing,246.85,116.81,668,58
223,Training Easy,Electronics,333.12,104.71,113,158
224,International Call,Sports,478.03,326.93,377,158
225,Year Voice,Sports,146.79,50.08,791,126
226,Over Employee,Food & Beverage,462.78,146.44,619,157
227,Particular Phone,Automotive,17.31,6.9,136,120
228,Among President,Tools,279.82,91.28,40,82
229,Beat Kind,Books,318.82,153.69,581,150
230,Really Past,Tools,57.42,29.08,462,169
231,Other Necessary,Food & Beverage,74.47,31.65,962,170
232,Four Worry,Electronics,212.46,68.07,522,50
233,Every Democratic,Tools,483.28,166.56,932,139
234,Relationship Sense,Clothing,300.04,136.16,214,10
235,Former Edge,Toys,466.85,151.36,447,119
236,Evidence Individual,Health & Beauty,403.16,233.54,139,119
237,Catch Remain,Books,236.35,90.48,574,79
238,Quite First,Books,393.46,165.58,188,199
239,Lot Four,Sports,13.83,6.33,492,178
240,Woman Society,Automotive,59.03,27.55,344,17
241,Would Baby,Books,415.57,124.95,185,49
242,Act Low,Food & Beverage,399.42,137.73,96,49
243,Pretty Order,Sports,120.16,77.52,512,181
244,Black Back,Clothing,267.73,80.45,948,109
245,Note Different,Health & Beauty,304.98,153.49,198,149
246,Move Evidence,Automotive,434.53,215.44,405,164
247,Cause Worker,Toys,303.54,131.5,224,156
248,Happy Upon,Clothing,209.22,98.86,809,27
249,Authority Until,Clothing,190.22,116.46,415,36
250,Election Hope,Sports,215.81,137.36,975,85
251,Feel Coach,Toys,327.71,132.44,245,74
252,Left These,Toys,434.41,186.36,80,152
253,Of Score,Books,229.68,91.18,583,39
254,Five Population,Toys,127.68,62.81,652,80
255,Surface Ready,Books,122.15,70.03,991,55
256,Newspaper Across,Food & Beverage,374.28,146.46,872,46
257,Region Technology,Health & Beauty,409.2,176.89,885,43
258,Once Firm,Food & Beverage,57.11,38.39,634,47
259,Work Record,Electronics,37.95,12.12,360,117
260,Body Wrong,Tools,299.24,144.92,429,88
261,Unit Center,Electronics,77.36,45.23,133,93
262,Everything Business,Tools,413.21,148.83,431,101
263,Voice Both,Electronics,158.62,50.59,364,151
264,Situation On,Toys,76.22,27.08,35,174
265,Clearly Expert,Clothing,460.88,307.65,204,110
266,Father Point,Electronics,86.94,26.4,535,132
267,Develop Series,Food & Beverage,145.94,54.78,369,151
268,Gun Democrat,Health & Beauty,81.04,25.33,994,141
269,Right Protect,Clothing,62.17,21.4,479,35
270,Tonight Everything,Tools,15.47,8.48,959,197
271,Mouth Middle,Home & Garden,32.42,12.86,661,41
272,Enter Western,Home & Garden,91.45,48.26,40,88
273,Whatever Throughout,Books,31.42,16.84,203,134
274,Approach Best,Sports,297.62,190.41,706,87
275,Protect Land,Clothing,341.95,103.23,545,56
276,Themselves Factor,Sports,199.85,128.17,302,186
277,Another About,Books,162.41,88.94,522,23
278,Goal Spend,Electronics,254.74,93.0,903,56
279,Case Public,Home & Garden,438.13,266.9,389,199
280,Everybody Color,Food & Beverage,426.31,273.77,45,149
281,Site Letter,Health & Beauty,26.52,10.65,311,26
282,Ok Season,Home & Garden,94.84,63.31,936,154
283,Late Option,Home & Garden,122.19,58.87,762,195
284,Act Brother,Health & Beauty,128.45,69.54,838,28
285,Bag You,Food & Beverage,287.76,199.67,912,89
286,Use Rock,Automotive,211.05,93.84,117,99
287,Well Church,Tools,29.38,18.37,282,35
288,Offer Also,Automotive,189.94,81.17,59,48
289,They Hope,Tools,264.26,163.76,4,43
290,Pass Old,Sports,55.33,29.89,835,45
291,Choose Law,Home & Garden,417.56,161.4,937,87
292,Care Analysis,Home & Garden,30.72,14.3,155,98
293,Foot His,Books,462.8,197.64,722,55
294,Way Worker,Health & Beauty,54.06,17.91,535,65
295,Style Traditional,Health & Beauty,422.57,131.81,69,46
296,Among Way,Automotive,451.81,198.16,916,162
297,Help Develop,Clothing,489.89,150.7,872,50
298,Rest Enjoy,Sports,402.0,147.21,568,183
299,Reflect Board,Books,390.84,230.62,708,112
300,Health State,Automotive,323.03,188.4,397,163
301,Opportunity Usually,Books,390.6,232.58,793,131
302,Two Investment,Clothing,71.6,30.56,445,60
303,Pressure So,Toys,270.35,177.35,990,124
304,Clear Wish,Automotive,259.54,139.51,63,62
305,Wonder Economic,Tools,429.5,150.5,172,32
306,Treatment Commercial,Electronics,234.09,83.68,969,58
307,Such Talk,Home & Garden,195.62,112.92,289,62
308,Cost Upon,Clothing,321.58,118.72,310,35
309,Itself Ago,Home & Garden,136.9,68.85,792,14
310,Country Since,Toys,74.19,51.69,189,190
311,Window Go,Books,241.55,72.85,514,108
312,Stay Word,Electronics,211.36,64.81,286,86
313,Its Suffer,Toys,120.12,83.75,198,187
314,Relationship Treat,Electronics,186.92,99.79,965,52
315,Simple Talk,Books,186.36,65.37,200,86
316,Energy Example,Electronics,167.11,110.11,94,171
317,Collection Store,Electronics,192.83,125.75,674,130
318,Science Box,Sports,344.44,177.21,868,86
319,Idea Turn,Automotive,151.95,83.38,127,58
320,American Town,Health & Beauty,474.68,194.27,708,16
321,Many Doctor,Electronics,458.59,146.84,541,26
322,Decision Technology,Electronics,243.05,130.72,830,40
323,Why Magazine,Home & Garden,167.54,70.02,127,160
324,Hard Focus,Food & Beverage,270.04,152.69,976,132
325,Tend Stuff,Health & Beauty,425.04,269.69,619,92
326,Try Drive,Automotive,328.03,100.79,842,159
327,Dog Agent,Home & Garden,403.17,217.02,362,40
328,Receive Data,Clothing,268.7,105.47,944,50
329,Inside Get,Electronics,318.29,206.75,626,85
330,Family Treatment,Clothing,147.64,59.27,127,185
331,Available Spring,Electronics,368.77,200.72,923,127
332,Family Have,Automotive,105.19,54.85,796,172
333,Put Mr,Books,348.93,159.97,300,57
334,Instead Respond,Automotive,431.06,246.16,546,172
335,Threat Not,Toys,70.39,41.55,388,23
336,Glass Wrong,Toys,309.12,162.84,544,53
337,Ahead Business,Sports,52.07,31.42,966,109
338,Understand Every,Automotive,364.23,252.55,899,19
339,Could Partner,Electronics,46.82,21.9,215,173
340,Evidence American,Electronics,468.29,236.88,972,175
341,Boy Pick,Sports,73.02,22.27,438,113
342,Leader Hair,Home & Garden,479.65,296.62,705,68
343,Shoulder Stop,Toys,401.44,203.97,764,28
344,Former Least,Health & Beauty,298.87,138.43,483,128
345,Police Much,Toys,392.4,132.49,457,112
346,Business Image,Books,398.58,261.41,456,155
347,We Part,Home & Garden,473.28,216.76,863,125
348,Customer Environmental,Health & Beauty,130.42,74.73,386,34
349,Another Section,Books,297.09,106.88,280,33
350,Least Ability,Toys,52.05,35.63,361,159
351,Nature Wish,Toys,310.0,115.13,195,40
352,Sure Nothing,Health & Beauty,89.79,34.1,391,189
353,Right Serve,Health & Beauty,284.65,183.2,114,30
354,Yard Site,Sports,288.35,191.76,89,149
355,Since Religious,Home & Garden,235.66,90.7,724,196
356,Debate Himself,Home & Garden,263.7,128.66,77,94
357,Lawyer Available,Sports,383.14,227.35,568,20
358,Red Wife,Books,400.63,260.95,780,177
359,Give Price,Food & Beverage,248.62,112.28,725,45
360,Former Record,Books,301.8,152.95,446,110
361,Thus Capital,Food & Beverage,465.96,278.03,193,198
362,Service We,Health & Beauty,64.27,38.08,931,152
363,First Movement,Tools,62.97,38.61,835,18
364,For Reflect,Clothing,48.42,25.56,612,166
365,Issue General,Health & Beauty,330.64,113.03,86,40
366,Interesting Same,Electronics,212.21,140.4,35,153
367,Find Once,Home & Garden,388.29,250.92,315,128
368,Care Dark,Clothing,337.26,208.84,157,64
369,Kitchen Red,Clothing,170.15,57.84,861,90
370,Yard Hundred,Clothing,449.69,171.67,206,32
371,Research Smile,Electronics,382.45,228.49,282,198
372,Weight Contain,Automotive,138.91,42.96,976,55
373,Power Outside,Electronics,185.28,128.16,819,68
374,Fish Into,Home & Garden,160.65,72.43,218,106
375,Official These,Food & Beverage,83.02,48.79,383,138
376,A Fly,Tools,78.15,51.19,516,106
377,Few Develop,Automotive,468.38,214.45,664,106
378,Law Stock,Clothing,221.76,94.84,937,121
379,Particularly Policy,Tools,194.74,105.84,871,173
380,Real Fund,Food & Beverage,366.19,194.96,978,85
381,Make Letter,Clothing,278.73,129.23,40,168
382,Letter Republican,Sports,468.39,253.26,236,160
383,Different Much,Tools,391.25,263.76,563,193
384,Material Student,Home & Garden,242.29,118.01,49,184
385,Wear Style,Clothing,191.3,72.44,355,162
386,Simply Condition,Automotive,493.38,222.46,153,57
387,Reason Become,Tools,360.29,164.88,933,157
388,Federal Myself,Tools,475.84,167.71,63,150
389,Record Property,Tools,63.65,23.24,148,65
390,President Government,Automotive,426.01,244.46,195,139
391,Better Tell,Sports,320.35,139.61,148,58
392,Society Easy,Clothing,65.35,44.57,569,109
393,Remember Force,Food & Beverage,296.19,117.72,364,162
394,Down Sure,Books,344.62,117.02,913,46
395,Decide Choice,Sports,11.09,6.67,261,74
396,Ago Any,Food & Beverage,229.89,149.98,537,161
397,Election May,Tools,413.57,170.08,660,96
398,Popular To,Books,151.2,57.58,626,193
399,Special Baby,Books,231.98,86.83,797,11
400,Lose Join,Health & Beauty,223.95,113.95,202,147
401,Various Professional,Electronics,154.45,75.27,507,165
402,Parent Day,Toys,459.63,185.59,801,185
403,Serious Same,Health & Beauty,391.74,124.6,863,39
404,If Miss,Toys,59.74,29.43,618,197
405,Instead Either,Home & Garden,498.53,340.86,652,84
406,Choose Reality,Automotive,440.2,246.96,865,77
407,Rise Accept,Home & Garden,145.53,72.5,625,77
408,Walk Social,Health & Beauty,419.26,144.34,949,131
409,Traditional Speech,Sports,57.68,23.13,127,135
410,Value Both,Electronics,499.56,208.77,348,100
411,Start Large,Toys,334.51,202.69,112,23
412,Discuss Control,Electronics,326.81,212.65,90,198
413,Summer Safe,Tools,49.77,32.88,472,52
414,National Majority,Food & Beverage,449.03,311.55,226,27
415,Apply Onto,Home & Garden,19.35,13.41,407,124
416,Enjoy Whose,Sports,124.21,84.61,438,88
417,Thus Campaign,Food & Beverage,75.8,24.92,621,127
418,Loss Cell,Books,389.5,138.32,946,177
419,Suddenly Majority,Books,103.11,43.49,850,28
420,Region Nice,Sports,455.77,237.53,378,64
421,Operation Physical,Books,329.85,111.75,325,108
422,Free Someone,Health & Beauty,22.9,14.62,771,160
423,Vote Level,Clothing,7.69,4.2,123,124
424,Position Teacher,Automotive,30.57,15.8,541,83
425,Serve Wait,Home & Garden,304.93,111.64,423,126
426,Mother Last,Toys,401.73,161.22,182,197
427,Then What,Clothing,123.08,44.82,617,101
428,Official Like,Home & Garden,425.46,272.62,321,178
429,Watch Cold,Health & Beauty,33.33,17.79,185,158
430,Six Training,Books,401.48,238.5,653,67
431,May Listen,Clothing,464.26,194.25,174,57
432,Event Society,Toys,387.19,173.66,673,157
433,End Though,Clothing,350.57,161.94,162,49
434,Public Factor,Home & Garden,419.8,253.56,435,74
435,Space Star,Sports,24.87,15.14,808,54
436,Near Memory,Toys,104.88,40.14,228,125
437,Produce Edge,Food & Beverage,66.84,45.22,768,66
438,Face Less,Food & Beverage,254.74,88.72,722,135
439,Bank Sell,Automotive,373.87,246.17,903,188
440,Feeling Easy,Electronics,316.86,107.78,169,168
441,Expert Government,Home & Garden,426.31,173.0,715,191
442,Front Walk,Electronics,81.83,52.26,937,14
443,Now Be,Electronics,368.64,137.06,763,96
444,Certainly City,Books,100.56,46.8,188,52
445,During Identify,Toys,139.03,66.73,822,185
446,Rule Claim,Automotive,356.4,141.88,107,145
447,Seat Difficult,Health & Beauty,490.2,286.32,589,71
448,Attack Join,Food & Beverage,307.71,197.1,498,117
449,Involve Give,Health & Beauty,31.98,20.78,531,125
450,Occur Man,Clothing,310.07,135.11,520,104
451,Just Assume,Automotive,25.96,13.3,31,100
452,Design There,Automotive,442.65,176.78,508,20
453,Kitchen Improve,Electronics,356.24,141.75,937,96
454,West Speech,Sports,90.7,33.06,437,76
455,Pattern Young,Automotive,50.4,34.07,277,166
456,Safe Again,Sports,95.85,62.8,995,175
457,Tough Up,Automotive,490.11,299.43,99,153
458,Southern Parent,Tools,231.99,117.63,486,15
459,Husband Me,Sports,393.12,195.08,513,170
460,According Yes,Electronics,320.02,163.82,478,85
461,He Fire,Home & Garden,288.34,148.39,922,89
462,Some In,Books,76.84,36.41,422,190
463,Tonight Wait,Sports,473.28,166.93,974,175
464,Thing Kind,Toys,154.16,54.0,66,19
465,Nothing Small,Sports,291.12,198.22,734,78
466,Simple Office,Clothing,351.39,173.17,593,153
467,Such Player,Home & Garden,326.37,222.35,240,112
468,Water Discussion,Food & Beverage,470.59,171.97,228,59
469,Method Discuss,Electronics,78.48,40.95,720,110
470,Explain Least,Books,256.63,98.31,638,175
471,Mention Air,Automotive,205.0,82.26,611,52
472,Improve Great,Electronics,239.71,74.79,50,152
473,Relate Respond,Sports,64.01,22.25,598,150
474,Success Interview,Books,71.38,47.59,982,179
475,Shake Company,Clothing,142.65,61.14,17,66
476,Though Manage,Sports,155.83,84.65,469,51
477,Wide Care,Toys,216.81,105.37,494,114
478,Prevent None,Clothing,307.44,141.48,897,111
479,Agreement What,Electronics,319.14,163.64,283,88
480,Indeed Person,Clothing,208.85,78.3,476,158
481,Organization Recognize,Food & Beverage,207.35,144.2,717,162
482,Agreement Because,Automotive,112.73,70.72,60,56
483,Question Later,Clothing,296.21,176.73,801,161
484,Central Trial,Home & Garden,161.94,78.95,823,54
485,Main Court,Home & Garden,22.85,8.25,720,87
486,Apply Ever,Home & Garden,212.11,141.75,648,15
487,Hundred Generation,Books,239.7,104.64,748,75
488,Development Look,Electronics,116.67,37.34,782,193
489,General Green,Toys,288.37,126.01,904,94
490,Sort Until,Home & Garden,285.06,176.11,428,145
491,Hundred Fall,Home & Garden,352.49,193.55,456,30
492,Soldier Theory,Books,325.73,195.55,638,131
493,Know Entire,Tools,327.95,202.49,193,80
494,They Beat,Food & Beverage,161.53,62.15,857,152
495,Many After,Sports,394.78,264.31,771,187
496,So Notice,Books,276.83,131.55,631,111
497,Area Hard,Automotive,218.55,121.43,301,29
498,Door Rate,Automotive,314.88,94.75,348,100
499,Authority Statement,Electronics,183.53,127.98,435,33
500,Reach Amount,Tools,258.81,106.72,663,95
